plate,well,control,gene_symbol,score_area_mean_HCT116,score_area_mean_RPE1,score_cell_n_HCT116,score_cell_n_RPE1,score_k_corr_perc_mean_HCT116,score_k_corr_perc_mean_RPE1,score_radial_dist_mean_mean_HCT116,score_radial_dist_mean_mean_RPE1,score_spots_number_mean_HCT116,score_spots_number_mean_RPE1,raw_repeat_1_area_mean_HCT116,raw_repeat_1_area_mean_RPE1,raw_repeat_1_cell_n_HCT116,raw_repeat_1_cell_n_RPE1,raw_repeat_1_k_corr_perc_mean_HCT116,raw_repeat_1_k_corr_perc_mean_RPE1,raw_repeat_1_radial_dist_mean_mean_HCT116,raw_repeat_1_radial_dist_mean_mean_RPE1,raw_repeat_1_spots_number_mean_HCT116,raw_repeat_1_spots_number_mean_RPE1,raw_repeat_2_area_mean_HCT116,raw_repeat_2_area_mean_RPE1,raw_repeat_2_cell_n_HCT116,raw_repeat_2_cell_n_RPE1,raw_repeat_2_k_corr_perc_mean_HCT116,raw_repeat_2_k_corr_perc_mean_RPE1,raw_repeat_2_radial_dist_mean_mean_HCT116,raw_repeat_2_radial_dist_mean_mean_RPE1,raw_repeat_2_spots_number_mean_HCT116,raw_repeat_2_spots_number_mean_RPE1,ratio_repeat_1_area_mean_HCT116,ratio_repeat_1_area_mean_RPE1,ratio_repeat_1_cell_n_HCT116,ratio_repeat_1_cell_n_RPE1,ratio_repeat_1_k_corr_perc_mean_HCT116,ratio_repeat_1_k_corr_perc_mean_RPE1,ratio_repeat_1_radial_dist_mean_mean_HCT116,ratio_repeat_1_radial_dist_mean_mean_RPE1,ratio_repeat_1_spots_number_mean_HCT116,ratio_repeat_1_spots_number_mean_RPE1,ratio_repeat_2_area_mean_HCT116,ratio_repeat_2_area_mean_RPE1,ratio_repeat_2_cell_n_HCT116,ratio_repeat_2_cell_n_RPE1,ratio_repeat_2_k_corr_perc_mean_HCT116,ratio_repeat_2_k_corr_perc_mean_RPE1,ratio_repeat_2_radial_dist_mean_mean_HCT116,ratio_repeat_2_radial_dist_mean_mean_RPE1,ratio_repeat_2_spots_number_mean_HCT116,ratio_repeat_2_spots_number_mean_RPE1,norm_repeat1_area_mean_HCT116,norm_repeat1_area_mean_RPE1,norm_repeat1_cell_n_HCT116,norm_repeat1_cell_n_RPE1,norm_repeat1_k_corr_perc_mean_HCT116,norm_repeat1_k_corr_perc_mean_RPE1,norm_repeat1_radial_dist_mean_mean_HCT116,norm_repeat1_radial_dist_mean_mean_RPE1,norm_repeat1_spots_number_mean_HCT116,norm_repeat1_spots_number_mean_RPE1,norm_repeat2_area_mean_HCT116,norm_repeat2_area_mean_RPE1,norm_repeat2_cell_n_HCT116,norm_repeat2_cell_n_RPE1,norm_repeat2_k_corr_perc_mean_HCT116,norm_repeat2_k_corr_perc_mean_RPE1,norm_repeat2_radial_dist_mean_mean_HCT116,norm_repeat2_radial_dist_mean_mean_RPE1,norm_repeat2_spots_number_mean_HCT116,norm_repeat2_spots_number_mean_RPE1,sd_cell_n_HCT116,sd_cell_n_RPE1,sd_k_area_mean_HCT116,sd_k_area_mean_RPE1,sd_k_corr_perc_mean_HCT116,sd_k_corr_perc_mean_RPE1,sd_radial_dist_mean_mean_HCT116,sd_radial_dist_mean_mean_RPE1,sd_spots_number_mean_HCT116,sd_spots_number_mean_RPE1
3,M09,sample,NCAPD3,0.57,0.22,0.08,-0.92,14.96,11.61,-12.33,-10.04,-8.9,-16.59,125.267957770139,181.566823548038,751,306,70.0785619174434,71.9820261437908,0.480536683118383,0.457264556354857,29.4860186418109,19.5882352941176,123.08960791131,167.467530485118,1051,677,78.8739295908658,60.9704579025111,0.431172007986443,0.468686743733644,23.6898192197907,21.8419497784343,1,1.02,0.962,0.794,1.23,1.37,0.916,0.897,0.817,0.6,1.01,0.988,1.19,0.872,1.32,1.63,0.855,0.879,0.717,0.696,0.129,0.206,-0.243,-0.568,11.006,9.023,-8.682,-6.906,-6.943,-15.667,1.019,0.242,0.406,-1.281,18.915,14.195,-15.979,-13.18,-10.865,-17.504,0.45891230099006936,0.5041671349860084,0.6293250352560272,0.02545584412271571,5.592507532404404,3.657156272296824,5.159758182318237,4.436387945164399,2.77327279581364,1.298955157039689
4,J17,sample,NCAPH2,0.54,1.05,-0.26,-0.12,13.68,9.29,-10.08,-8.79,-8.15,-8.14,124.775783352534,166.255820282322,526,148,74.5142585551331,68.5743243243243,0.464844069126515,0.491238081145119,24.7604562737643,22.1081081081081,125.976719875185,184.16874176313,1012,634,77.0316205533597,63.23738170347,0.431352979287542,0.457793239011292,24.9792490118577,22.9889589905363,1,0.998,0.673,0.632,1.29,1.29,0.896,0.953,0.736,0.697,1.04,1.08,1.08,0.83,1.31,1.67,0.85,0.861,0.758,0.726,0,0.487,-0.77,-0.21,13.036,5.403,-8.84,-2.696,-7.3,-5.362,1.075,1.609,0.257,-0.025,14.316,13.182,-11.329,-14.885,-9.002,-10.911,0.7261986642785844,0.1308147545195113,0.7601397897755385,0.7933738084913063,0.9050966799187816,5.500583650850154,1.7599887783733172,8.618924555882828,1.2034957415795045,3.923735528804152
2,I18,sample,CHAF1B,3.38,2.57,0.47,-0.3,4.36,4.66,-3.83,-3.18,-1.14,-0.57,135.938887757391,186.420577673959,730,234,62.3582191780822,61.3183760683761,0.503425617666402,0.500657516169494,35.1328767123288,30.3418803418803,135.01034668159,172.691596607447,879,816,65.2866894197952,44.0753676470588,0.474793029053745,0.513904117043044,32.1478953356086,31.8455882352941,1.11,1.06,0.906,0.605,1.09,1.19,0.965,0.982,0.983,0.939,1.11,1.04,1.1,0.94,1.1,1.2,0.94,0.962,0.986,1,2.827,2.644,-0.093,-0.28,3.793,4.615,-2.795,-1.607,-1.589,-1.57,3.928,2.495,1.028,-0.314,4.921,4.707,-4.868,-4.748,-0.689,0.433,0.7926667017101198,0.02404163056034259,0.7785245660863888,0.1053589103967956,0.7976164491784257,0.06505382386916211,1.4658323573997132,2.221022399706946,0.6363961030678927,1.4163348827166546
2,F08,sample,CHAF1A,6.98,2.55,-1.55,-0.33,4.21,4.84,-3.71,-1.91,-0.51,-0.48,147.459523800033,199.832389787579,486,392,58.798353909465,57.8966836734694,0.51160400289072006,0.503651526250964,36.4835390946502,30.9209183673469,146.802337157316,176.374333302086,653,754,64.8246554364472,43.7015915119363,0.48365929675368,0.519690992300087,31.5696784073507,31.2214854111406,1.2,1.14,0.603,1.01,1.02,1.12,0.981,0.988,1.02,0.957,1.21,1.06,0.82,0.868,1.09,1.19,0.957,0.973,0.968,0.983,7.225,2.937,-2.903,0.342,1.853,4.51,-2.571,-0.847,-0.036,-0.841,6.727,2.154,-0.199,-0.998,6.576,5.168,-4.84,-2.974,-0.979,-0.124,1.9120167363284244,0.9475230867899735,0.3521391770309002,0.5536646096690666,3.3396653275440635,0.4652762620207485,1.604425286512276,1.5040161235837868,0.6668016946589143,0.5069955621107546
2,C10,sample,HNRNPC,10.15,-0.68,-1.94,-0.83,2.97,2.53,-2.99,-0.99,-1.31,-2.91,149.388992592488,171.5319403026,506,269,59.1264822134387,55.7509293680297,0.510244633364975,0.508154538063563,33.397233201581,29.7732342007435,161.757386067533,168.113693850684,593,822,62.8532883642496,37.8947688564477,0.485166106893995,0.530897131926562,31.3844856661046,30.6386861313869,1.22,0.979,0.628,0.695,1.03,1.08,0.978,0.996,0.934,0.921,1.33,1.02,0.745,0.946,1.06,1.03,0.96,0.994,0.962,0.964,8.03,-1.134,-2.704,-1.453,1.542,3.378,-2.345,-0.657,-1.198,-3.442,12.272,-0.224,-1.177,-0.199,4.396,1.679,-3.638,-1.316,-1.416,-2.381,1.0797520548718582,0.8867119036079306,2.999546965793335,0.6434671708797581,2.0180827535064068,1.2013744212359443,0.9142890680742056,0.46598336880193486,0.15414927829866734,0.7502402948389272
2,O06,sample,UHRF1,1.61,0.11,0.4,-0.06,2.66,0.27,-0.77,-3.06,0.28,-4.03,121.891781654084,172.744794464663,790,409,59.020253164557,52.8911980440098,0.525259404943027,0.464173301105373,37.6632911392405,29.0562347188264,127.364007045017,165.572565428872,889,900,62.689538807649,39.8961111111111,0.496558956013263,0.528236795079025,33.177727784027,31.17,0.994,0.986,0.981,1.06,1.03,1.02,1.01,0.91,1.05,0.899,1.05,1,1.12,1.04,1.06,1.09,0.983,0.989,1.02,0.981,0.414,0.172,0.241,-0.128,1.601,-0.55,-0.096,-6.114,0.009,-5.234,2.81,0.04,0.554,0.007,3.719,1.085,-1.453,-0.016,0.551,-2.825,0.2213244225113894,0.09545941546018392,1.694227847722968,0.09333809511662426,1.4976521625531076,1.1561195872400052,0.9595439020701452,4.311937151675567,0.3832518754031088,1.703420235878393
1,J02,sample,POLE,7.99,3.47,-0.49,-1.77,2.54,0.32,-1.3,2.52,-0.37,-8.12,156.11513901204,215.735779291696,663,202,62.3702865761689,52.6584158415842,0.50474932920441,0.548451017639347,32.8883861236802,23.4207920792079,139.657658933863,185.503526011615,288,651,64.5694444444444,40.3049155145929,0.499119884234145,0.540270183098905,30.2118055555556,26.8678955453149,1.27,1.19,0.795,0.584,1.06,0.99,0.986,1.08,1,0.728,1.22,1.1,0.828,0.789,1.09,1.09,0.994,1.01,0.971,0.851,11.408,4.146,-0.88,-1.581,2.808,0.019,-2.004,3.976,-0.001,-7.593,4.567,2.79,-0.101,-1.957,2.28,0.627,-0.589,1.057,-0.735,-8.643,0.5508361825443205,0.2658721497261419,4.837317490097171,0.9588367952889584,0.3733523804664971,0.42992092296142087,1.0005560953789647,2.0640446942835324,0.5190163773909259,0.7424621202458754
2,N19,sample,POLD1,8.26,1.03,-1.39,-0.83,2.41,1.68,-1.68,0.05,-0.81,-1.41,152.072942975364,180.035301309676,586,263,60.1715017064846,57.1140684410646,0.513823726375921,0.51283419726425294,32.8924914675768,31.93536121673,145.326543028695,170.371851993902,834,790,62.3423261390887,37.6911392405063,0.492670259574571,0.534228353599848,32.39448441247,30.4164556962025,1.24,1.03,0.727,0.68,1.05,1.1,0.985,1.01,0.92,0.988,1.2,1.03,1.05,0.91,1.05,1.03,0.975,1,0.993,0.957,9.554,0.612,-1.123,-0.995,2.267,2.676,-1.076,0.121,-0.98,-0.175,6.966,1.456,-1.655,-0.667,2.558,0.68,-2.275,-0.025,-0.642,-2.649,0.37618080759124334,0.23193102422918752,1.829992349710785,0.5967981233214461,0.20576807332528527,1.4113851352483489,0.8478210306426703,0.10323759005323592,0.23900209204105305,1.7493821766555189
3,I07,sample,CDC45,12.7,3.54,-1.16,-1.23,2.36,-0.23,-0.38,0.76,-0.84,-5.19,183.448723845191,209.021603957139,475,185,59.9936842105263,49.6081081081081,0.532386500060263,0.535322793649117,37.4610526315789,26.9405405405405,141.730490849202,194.642492938188,877,580,61.4960091220068,40.1870689655172,0.499713702184113,0.53169279453722,31.6294184720639,28.8,1.47,1.17,0.609,0.48,1.05,0.947,1.01,1.05,1.04,0.825,1.16,1.15,0.995,0.747,1.03,1.08,0.991,0.998,0.957,0.918,18.519,3.356,-2.156,-1.122,2.969,-1.385,0.274,1.431,-0.375,-5.894,6.878,3.73,-0.165,-1.338,1.742,0.932,-1.032,0.088,-1.31,-4.483,1.4078496013424162,0.15273506473629425,8.231430039792599,0.26445793616376884,0.8676200205158937,1.6383664120092307,0.9234814562296312,0.9496444071335334,0.661144840409422,0.9977276682542188
2,O13,sample,NUP85,-5.7,-0.12,-0.14,0,2.15,0.78,1.09,0.32,-4.38,-5.05,105.462286595584,168.237935348601,780,418,58.5307692307692,57.1650717703349,0.528498916306044,0.501699716632439,33.0589743589744,29.0789473684211,98.5088201957366,160.646286657311,824,937,61.9332524271845,39.6953041622198,0.517951229590903,0.5326916717828,29.4793689320388,29.8046958377801,0.86,0.961,0.968,1.08,1.02,1.1,1.01,0.984,0.925,0.9,0.812,0.97,1.03,1.08,1.04,1.08,1.03,0.997,0.904,0.938,-5.051,0.086,-0.676,-0.007,1.551,0.412,0.718,-0.178,-3.452,-4.864,-6.341,-0.329,0.39,-0.002,2.749,1.147,1.456,0.809,-5.31,-5.241,0.7537758287448597,0.00353553390593273,0.91216774773064635,0.2934493141924172,0.8471139238614841,0.5197234841721124,0.5218448045156721,0.6979143930311225,1.3138043994446051,0.2665792565073283
